,county,TOTAL DOLLAR AMOUNT OF CLAIMS
540,Kosciusko,1553422.91
541,Washington,2038380.49
542,Orange,2038380.49
543,Harrison,2038380.49
544,Warrick,907743.22
545,Spencer,907743.22
546,Jennings,927483.46
547,Jefferson,927483.46
548,Hamilton,17583522.07
549,Marion,17583522.07
550,LaPorte,6905739.35
551,Starke,6905739.35
552,St. Joseph,6905739.35
553,Marshall,6905739.35
554,Rush,144794.74
555,Parke,1280861.02
556,Clay,1280861.02
557,Perry,481232.9
558,Kosciusko,1953982.06
559,Marshall,1953982.06
560,Delaware,6961528.46
561,Madison,6961528.46
562,Henry,6961528.46
563,Posey,641642.78
564,Greene,2858293.57
565,Noble,611536.76
566,Madison,2739351.44
567,Putnam,1081511.55
568,Montgomery,1081511.55
569,Wells,435966.2
570,Perry,3071112.64
571,Crawford,3071112.64
572,Harrison,3071112.64
573,Allen,5342172.59
574,Bartholomew,2877243.88
575,Jennings,2877243.88
576,Porter,633182.35
577,LaPorte,633182.35
578,Starke,633182.35
579,Allen,1353827.56
580,Brown,3362289.91
581,Johnson,3362289.91
582,Marion,15752655.92
583,Clay,6469987.15
584,Sullivan,6469987.15
585,Greene,6469987.15
586,Allen,18591769.2
587,Marion,81740828.07
588,Washington,24202537.02
589,LaGrange,3726945.25
590,Noble,3726945.25
591,Clark,2114721.72
592,Delaware,25393720.72
593,Madison,25393720.72
594,Allen,21183002.96
595,Marion,66495750.31
596,St. Joseph,33904548.52
597,Wells,4923312.15
598,Huntington,4923312.15
599,Putnam,1014704.43
600,Harrison,733730.26
601,Pulaski,606923.1
602,Jasper,606923.1
603,Starke,606923.1
604,Lawrence,1533841.85
605,Kosciusko,11222791.64
606,Henry,65995671.71
607,Knox,843266.68
608,Vigo,12312577.25
609,Sullivan,12433064.42
610,Henry,928946.21
611,Knox,43447338.53
612,Parke,2864965.94
613,Clay,2864965.94
614,Vigo,2864965.94
615,Cass,379999.75
616,Putnam,350062.06
617,Rush,47399612.68
618,Hancock,47399612.68
619,Miami,983498.79
620,Fulton,983498.79
621,Tippecanoe,5222750.74
622,Parke,624687.32
623,Jennings,3498327.09
624,Jackson,3498327.09
625,Steuben,4204840.14
626,Boone,3083617.4
627,Hendricks,3083617.4
628,Noble,6214893.7
629,DeKalb,6214893.7
630,Pulaski,1918785.82
631,Jasper,1918785.82
632,Grant,1205434.03
633,Hamilton,18134119.22
634,Lake,14699493.84
635,Hamilton,774580.04
636,Perry,536265.49
637,Daviess,1232548.41
638,LaGrange,2281242.84
639,St. Joseph,27990104.35
640,Marshall,27990104.35
641,Gibson,18201466.89
642,Perry,3420103.9
643,Clay,2723495.06
644,Henry,507163.03
645,Sullivan,3373805.27
646,Wayne,13307040.09
647,Montgomery,909808.24
648,Tippecanoe,909808.24
649,Carroll,3065236.0
650,Howard,3065236.0
651,Allen,1830189.49
652,Spencer,761898.39
653,Vanderburgh,62262316.38
654,Daviess,31707650.95
655,Wabash,32840203.58
656,Clark,1205011.58
657,Scott,1205011.58
658,Brown,2805734.2
659,Jackson,2805734.2
660,Hamilton,15036182.31
661,DeKalb,991212.25
662,Hamilton,62189357.44
663,Marion,62189357.44
664,Decatur,2391591.12
665,Shelby,2391591.12
666,Scott,3991457.37
667,Jefferson,3991457.37
668,Monroe,86786.62
669,Marion,35792001.5
670,Clark,1097409.05
671,Randolph,2447101.21
672,Tipton,16393233.37
673,Madison,16393233.37
674,Grant,16393233.37
675,Allen,3615872.88
676,Noble,3615872.88
677,Whitley,3615872.88
678,Putnam,8159812.37
679,Morgan,8159812.37
680,Owen,8159812.37
681,Bartholomew,976762.59
682,Shelby,976762.59
683,Vigo,11181727.17
